segment,answerDate,NPS,impactInteraction,reason,improvement
1,1,0,1,Se me perdió dinero al usar la aplicación y fui al banco y no hicieron nada para ayudarme.,Cerrar ese banco
2,2,4,3,,
2,3,3,1,La app no está permitiendo hacer transferencias ni pagos de servicios desde hace más de un mes,Que funcione la app
2,1,7,3,Igual,"Más sucursales en Facatativá, Mosquera y municipios del.ocvidente de la Sabana de Bogota"
1,2,7,3,No tengo opinion,Todo está bien.
1,3,7,2,Porque no es amigable,Tener mejor comunicación
2,1,7,4,Facilidad de acceso y generación de pagos y transferencias,"Por lo pronto satisface mis necesidades, gracias"
1,2,7,4,"Porque redujeron un poco las complicaciones para el acceso vía telefónica, que inexplicablemente han creado","Pensar mas en facilitar el acceso a los clientes, particularmente vía telefónica y disponer de acesores mejor informados y más dispuestos a ayudar."
1,3,7,3,Me parece un buen banco todo excelente virtual pero pocos cajeros,Todo está bien
1,1,8,4,Implementaron nuevas opciones,Falla mucho cuando se va a pagar recibos a veces no toma los pagos y toca desde la página de las facturas propias
1,2,8,3,"No me podido realizar algunas transacciones (pagos en establecimientos comerciales, físicamente) después de las 12 de la noche",Que funcione 24/7 para todas las operaciones
1,3,8,3,,
1,1,7,3,,
1,2,8,3,Siento que funciona igual,No tengo idea
2,3,8,2,Piden una clave adicional por sms o mail y no llega y cuando llega es extemporanea.,Solucionar el asunto de la clave adiconal o eliminarla.
1,1,8,5,,
1,2,8,3,No han innovado,Más fácil
1,3,8,5,Agilidad,.
2,1,8,4,Es ágil y confiable,Así está bien
1,2,7,3,,Por el mometo a Estado estable más adelante le informaré los motivos por el momento estamos bien gracias
1,3,7,3,Porque lo hacen bien,Seguir haciendo las cosas bien
1,1,8,3,,
2,2,8,3,"El servicio es bueno y no ha cambiado. 
Lo que ha cambiado son los costos de los productos",El horario de atencion antes era 24 horas por telefono
2,3,8,5,Confiable,
1,1,8,4,Me parece fácil e intuitiva,"Como nuevo cliente no la he explorado mucho, inicialmente la veo muy simple, no se si cubra todos los servicios que generalmente se requieren"
1,2,8,5,He tenido facilidad al momento que lo necesito.,Crear nuevos servicios como por ejemplo para mascotas o familiares.
2,3,8,3,Continúa igual. De todas formas es ágil y oportuna,Considero que está bien.
2,1,8,3,Continua igual,"Te saca, aduciendo que llevas tiempo inactivo; cuando es falso, porque en realidad  estoy activo en la pagina"
1,2,8,4,Es ágil y no genera costos de más,en mi caso particular no necesito nada más
1,3,8,3,"Funcionó bien, cómo siempre",No es necesario hacer cambios
1,1,8,5,Facilidad y confiabilidad,Nada
2,2,8,4,La interacción para pagos directo con la cuenta facilita el proceso.,Ampliar el detalle de los productos.
1,3,8,3,"Es buena app pero aveces se cae o no funciona cuando uno la necesita, pero en general es muy buena.",En lo personal yo tengo la cuenta bolsillo me gustaría que no se viera y mejorar un poco esas caídas de la app
2,1,8,4,Las actualizaciones que han hecho en la app móvil son bastante útiles.,Pagos o movimientos usando QR serían útiles.
1,2,8,4,Facilidad y practicidad,Mayor seguridad. Claves dinámicas
2,3,8,5,Por seguridad,En las noches no funciona
1,1,8,5,la banca virtual es rápida y ágil para realizar los pagos y transferencias,Que se realicen los mantenimientos en horas de la madrugada y a media noche como hasta ahora lo han hecho.
1,2,8,5,Porque es muy fácil de usar y muy clara.,Que se puede abrir 24/7
2,3,8,3,No encuentro mejoras,esta bien el servicio
2,1,7,2,Se presentó fraude transaccional por la banca virtual y el banco nunca reportó las transacciones,Incrementar la seguridad transaccional por la banca virtual
2,2,8,5,Por su facilidad para realizar inscripción y pago de servicios públicos. Por el nuevo producto de cuenta bolsillo que espero que se convierta en mi aliada para generar el ahorro que tanto necesito. La plataforma siempre está en línea y nunca he tenido problemas cuando la he necesitado,Recordatorios de fechas de pago de facturas inscritas para poderlas pagar de inmediato
1,3,8,3,,
1,1,8,3,Sin comentarios,
2,2,8,3,"La página no cuenta con históricos de transferencia, por remitentes o destinatarios",Mejorar la información de cada movimiento
2,3,7,4,,
1,1,8,4,Es fácil de usar.,Poder hacer las transacciones más rápido a otros bancos o aplicaciones.
2,2,8,5,Los procesos de la banca virtual son fáciles de seguir amigables con el usuario.,"Hasta ahora ha sido fácil y cómodo navegar en la banca virtual.  Encontré alguna dificultad en demostrar que soy la usuaria, al contestar la preguntas y casi pierdo mi oportunidad de efectuar la transacción que necesitaba, solicitaría hacer mas efectivo el reconocimiento."
1,3,8,3,Mi apreciacion sigue siendo buena . El servicio no ha empeorado no mejorado,Me parece un servicio bueno. Tengo mas dificultad con el cajero mas cercano. Mantiene dañado
2,1,8,4,Agilismo en las operaciones y facilidad de navegación,
1,2,7,2,"A veces el sitio web muestra la información desactualizada y te saca de un momento a otro, sin haber cerrado sesión.",Revisar lo anteriormente expuesto.
2,3,8,4,Estoy preocupada por fraude en mis cuentas. Espero respuesta pronto.,Dar respuesta a mi reclamo y aclarar para que no vaya s perder mi dinero.
1,1,8,3,Esta igual,que actualicen cuando se va a pagar servicios por que en muchas ocasiones no trae el valor y hay que digitar todo
2,2,7,3,No hay difererencias significativas,mas que con la banca virtual es con las noticias de probable salida del país
2,3,8,3,.,
2,1,7,3,No funciona entre 10pm y 5am la banca transaccional,Disponibilidad 7x24
2,2,7,3,Funciona igual que otras apps bancarias,Mas servicios y autogestión desde la app
1,3,7,3,No vi ningún cambio,Que se tarde menos cada transferencia
2,1,8,3,,
2,2,8,3,Porque hay otros bancos que manejan tazas de interés mas bajas.,Los únicos dos cajeros que hay en esta ciudad don de resido (Buga - Valle del Cauca) frecuentemente quedan fuera de servicio por agotarse el dinero y se demoran en reestablecerlos.
1,3,7,5,La facilidad para realizar comprar transferencias etc es muy buena,No lo sé para mí está bien así
1,1,8,4,Respuesta ágil.,Seguir mejorando.
3,2,7,3,La página web puede mejorar,La banca virtual debería tener los saldos finales de cada día al cierre por cada cuenta
1,3,8,3,El servicio ha mantenimiento su calidad en el tiempo.,
1,1,8,1,"No es fácil hacer las cosas uno mismo, no hay acceso a la cuenta después de media noche, además cuando se intenta contactar por teléfono es peor.",
2,2,7,2,Fue complicado acertar con las respuestas,No imagino en el momento como mejorar mi experiencia sin perder seguridad
2,3,8,3,La atención telefónica no es rápida ni amigable.. Es muy complicado,Mejorar el menú telefónico y la forma de comunicación
1,1,7,4,,
2,2,8,5,Porque veo en en Scotiabank Colpatria un banco serio y eficiente.,"Se necesita mejorar los contactos telefónicos, pues son muy demorados"
1,3,7,3,,
